;district;size (m²);price (M in HUF);balcony (m²);address;room(s);half_room(s)
24563;005;314;816.29;14.0;Honvéd utca;5;
24564;011;74;119.0;;Schweidel utca;2;1.0
24565;008;105;55.0;;Rákóczi út;3;1.0
24566;009;40;38.9;;Üllői út;2;
24567;010;33;33.0;;Laposdűlő;1;
24568;006;108;64.9;;Király utca;3;
24569;009;29;39.5;;Ráday utca;1;
24570;014;46;46.0;;Szentmihályi út;2;
24571;007;76;89.9;;Károly körút;2;
24572;006;56;74.21;12.0;Király utca;2;
24573;009;32;19.9;;Ernő utca;1;2.0
24574;008;90;74.9;;Üllői út;4;
24575;003;49;22.9;;Pacsirtamező utca;1;1.0
24576;010;72;45.4;;Laposdűlő;3;
24577;013;68;69.8;;Angyalföld;3;
24578;007;80;60.0;;Belső-Erzsébetváros;4;
24579;006;75;71.5;;Zichy Jenő utca;3;1.0
24580;022;68;61.5;64.0;Baross Gábor-telep;2;
24581;005;66;76.0;;Kossuth Lajos utca;2;
24582;007;107;84.1;;Bethlen Gábor utca;4;
24583;001;82;85.0;;Krisztinaváros - Váralja;2;
24584;007;44;33.9;;Peterdy utca;2;
24585;005;128;389.59;;Lipótváros;4;
24586;005;85;99.5;;Falk Miksa utca;2;1.0
24587;010;72;44.5;4.0;Laposdűlő;2;1.0
24588;011;58;52.0;;Fehérvári út;2;
24589;011;107;143.0;;Orlay utca;3;2.0
24590;013;100;89.5;;Visegrádi utca;3;1.0
24591;006;80;98.0;;Paulay Ede utca;2;1.0
24592;013;48;58.0;;Katona József utca;1;
24593;008;30;19.5;;Kőris utca;1;
24594;023;60;54.3;;Soroksár-Újtelep;3;
24595;007;39;35.9;;Wesselényi utca;1;
24596;003;79;82.5;8.0;Bécsi út;3;
24597;006;76;71.61;;Hegedű utca;3;
24598;007;78;75.0;;Erzsébet körút;3;
24599;014;138;138.0;7.0;Ilka utca;4;
24600;006;125;59.0;;Belső-Terézváros;6;
24601;005;85;99.5;;Lipótváros;2;1.0
24602;003;127;174.9;;Szépvölgyi út;5;
24603;013;140;320.0;96.0;Vizafogó - Marinapart;3;1.0
24604;009;102;85.0;3.0;Belső-Ferencváros;4;
24605;008;27;21.9;;Bérkocsis utca;1;
24606;013;36;28.0;;Kárpát utca;1;
24607;018;65;49.9;20.0;Újpéteritelep;2;
24608;011;108;298.0;8.0;Gellérthegy;2;2.0
24609;007;82;72.0;;Vörösmarty utca;3;
24610;006;125;59.0;;Rippl-Rónai utca;6;
24611;008;25;21.9;;Lujza utca;1;
24612;006;40;33.0;;Bajza utca;1;
24613;007;61;58.0;;Damjanich utca;3;
24614;007;76;65.0;;Almássy tér;2;
24615;011;49;50.0;7.0;Sasadi út;2;
24616;009;50;39.9;3.0;Középső-Ferencváros;2;
24617;023;103;69.9;8.0;Soroksár-Újtelep;4;
24618;023;60;54.3;;Soroksár-Újtelep;3;
24619;023;72;54.9;20.0;Soroksár-Újtelep;3;
24620;023;103;73.9;8.0;Soroksár-Újtelep;4;
24621;006;37;37.5;;Zichy Jenő utca;2;
24622;013;87;71.9;;Újlipótváros;5;
24623;023;68;55.7;13.0;Soroksár-Újtelep;3;
24624;007;156;130.0;;Erzsébet körút;5;
24625;013;130;99.5;;Hegedűs Gyula utca;3;
24626;014;136;50.0;;Jávorka Ádám utca;1;
24627;013;45;55.0;;Csongor utca;2;
24628;018;130;84.7;;Kisfaludy utca;6;
24629;012;70;35.0;;Márvány utca;2;
24630;002;149;149.0;;Újlak;4;
24631;007;70;48.5;;Külső-Erzsébetváros;3;3.0
24632;013;12;26.0;;Thurzó utca 22.;1;
24633;013;58;47.5;;Angyalföld;1;2.0
24634;013;26;30.0;;Hegedűs Gyula utca;1;
24635;007;125;72.9;;Dob utca;3;
